id,url,version_oficial,cilindrada_cc,cilindrada,power_hp,torque_nm,carroceria,categoria,traccion_spec,transmision_spec,tipo_caja,combustible_spec,puertas,asientos,cilindros,autonomia_km,peso_kg
CP-AD-8529512,https://www.chileautos.cl/vehiculos/detalles/2024-toyota-rav4-2-0-xle-4x2-cvt-at-5p/CP-AD-8529512,2.0 XLE 4X2 CVT AT 5P,1987.0,2.0,170.0,203.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5.0,5.0,4.0,825.0,1480.0
CP-AD-8532113,https://www.chileautos.cl/vehiculos/detalles/2019-ford-explorer-explorer-limited-4x4-3-5-at/CP-AD-8532113,,,,,,,,,,,,,,,,
CP-AD-8531783,https://www.chileautos.cl/vehiculos/detalles/2025-chevrolet-silverado-3-0-high-country-4x4-at-4p/CP-AD-8531783,3.0 HIGH COUNTRY 4X4 AT 4P,3000.0,3.0,305.0,671.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Diesel,4.0,5.0,6.0,1064.0,3266.0
GI-AD-893923,https://www.chileautos.cl/vehiculos/detalles/ford-f-150-2024-platinum-3-5-4x4-aut/GI-AD-893923,,,,,,,,,,,,,,,,
CP-AD-8541407,https://www.chileautos.cl/vehiculos/detalles/2025-ford-ranger-3-0t-raptor-4x4-dob-cab-at-4p/CP-AD-8541407,3.0T RAPTOR 4X4 DOB. CAB. AT 4P,2956.0,3.0,288.0,491.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,6.0,664.0,3130.0
CP-AD-8533174,https://www.chileautos.cl/vehiculos/detalles/2024-ford-ranger-3-0-ltd-diesel-4x4-dob-cab-at-4p/CP-AD-8533174,3.0 LTD DIESEL 4X4 DOB. CAB. AT 4P,2993.0,3.0,241.0,600.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Diesel,4.0,5.0,6.0,904.0,3300.0
CP-AD-8540823,https://www.chileautos.cl/vehiculos/detalles/2025-chevrolet-silverado-6-2-zr2-r-4x4-at-4p/CP-AD-8540823,6.2 ZR2 R 4X4 AT 4P,6200.0,6.2,420.0,624.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,618.0,3221.0
CL-AD-19482552,https://www.chileautos.cl/vehiculos/detalles/2022-peugeot-3008-active-pack-1-2-puretech/CL-AD-19482552,,,,,,,,,,,,,,,,
CP-AD-8492697,https://www.chileautos.cl/vehiculos/detalles/2024-ford-explorer-2-3-ecoboost-xlt-4x2-at-5p/CP-AD-8492697,2.3 ECOBOOST XLT 4X2 AT 5P,2300.0,2.3,300.0,420.0,"SUV, 5 puertas, 7 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,7.0,4.0,646.0,1971.0
CL-AD-19608660,https://www.chileautos.cl/vehiculos/detalles/2023-chevrolet-silverado-5-3-lt-trail-boss-z71-4x4-at-4p/CL-AD-19608660,5.3 LT TRAIL BOSS Z71 4X4 AT 4P,5300.0,5.3,355.0,518.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,728.0,3130.0
GI-AD-812553,https://www.chileautos.cl/vehiculos/detalles/peugeot-2008-2019-1-2-puretech-110-hp-auto-gt-line/GI-AD-812553,,,,,,,,,,,,,,,,
CP-AD-8538788,https://www.chileautos.cl/vehiculos/detalles/2026-ford-ranger-xlt-4x4-2-0-aut/CP-AD-8538788,,,,,,,,,,,,,,,,
CL-AD-20508890,https://www.chileautos.cl/vehiculos/detalles/2022-peugeot-2008-1-2-allure-puretech-130-4x2-at-5p/CL-AD-20508890,1.2 ALLURE PURETECH 130 4X2 AT 5P,1199.0,1.2,130.0,230.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,5.0,3.0,792.0,1160.0
CP-AD-8518424,https://www.chileautos.cl/vehiculos/detalles/2023-nissan-x-trail-2-5-advance-4x2-3row-cvt-at-5p/CP-AD-8518424,2.5 ADVANCE 4X2 3ROW CVT AT 5P,2488.0,2.5,181.0,245.0,"SUV, 5 puertas, 7 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5.0,7.0,4.0,676.0,1578.0
CP-AD-8520358,https://www.chileautos.cl/vehiculos/detalles/2024-chevrolet-silverado-3-0-high-country-4x4-at-4p/CP-AD-8520358,3.0 HIGH COUNTRY 4X4 AT 4P,3000.0,3.0,305.0,671.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Diesel,4.0,5.0,6.0,1064.0,3266.0
GI-AD-881500,https://www.chileautos.cl/vehiculos/detalles/ford-explorer-2023-2-3-ecoboost/GI-AD-881500,,,,,,,,,,,,,,,,
CL-AD-20561224,https://www.chileautos.cl/vehiculos/detalles/2021-mitsubishi-l200-2-4-katana-crt-diesel-special-pack-dob-cab-4x4-mt-4p/CL-AD-20561224,2.4 KATANA CRT DIESEL SPECIAL PACK DOB. CAB. 4X4 MT 4P,2442.0,2.4,152.0,380.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Manual,Mecánico,Diesel,4.0,5.0,4.0,787.0,1840.0
